MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,Remodeled,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageArea,MSZoning,PavedDrive,Neighborhood,BldgType,HouseStyle,SalePrice
20,100.0,10175,6,5,1964,0,1425,0,0,2,0,3,1,576,RL,Y,NAmes,1Fam,1Story,180500
160,24.0,2645,8,5,1999,1,1739,1,0,2,1,3,0,480,FV,Y,Somerst,Twnhs,2Story,172500
60,89.0,11645,7,5,2004,0,1720,0,0,2,1,3,0,565,RL,Y,CollgCr,1Fam,2Story,196500
60,66.0,13682,10,5,2006,0,2945,0,0,3,1,3,1,641,RL,Y,StoneBr,1Fam,2Story,438780
20,60.0,7200,5,7,1972,0,780,0,0,1,0,2,0,352,RL,Y,CollgCr,1Fam,1Story,124900
20,63.0,13072,6,5,2004,0,1158,1,0,1,1,3,0,576,RL,Y,SawyerW,1Fam,1Story,158000
75,60.0,7200,5,7,1920,1,1111,0,0,1,0,3,0,288,RM,N,IDOTRR,1Fam,2.5Unf,101000
120,44.0,6442,8,5,2006,0,1370,0,0,2,0,2,1,484,RL,Y,NridgHt,TwnhsE,1Story,202500
70,50.0,10300,7,6,1921,1,1710,0,0,2,0,3,0,480,RM,Y,OldTown,1Fam,2Story,140000
60,,9375,7,5,1997,1,2034,1,0,2,1,3,0,645,RL,Y,CollgCr,1Fam,2Story,219500
60,76.0,9591,8,5,2004,1,2473,0,0,2,1,4,1,852,RL,Y,NridgHt,1Fam,2Story,317000
20,,19900,7,5,1970,1,2207,1,0,2,0,3,1,576,RL,Y,NAmes,1Fam,1Story,180000
20,72.0,10665,7,5,2003,0,1479,1,0,2,0,3,0,558,RL,Y,CollgCr,1Fam,1Story,226000
30,47.0,4608,4,6,1945,1,747,0,0,1,0,2,0,220,RM,Y,OldTown,1Fam,1Story,80000
50,81.0,15593,7,4,1953,0,2287,0,0,2,0,3,1,667,RL,Y,ClearCr,1Fam,1.5Fin,225000
20,95.0,13651,7,6,1973,0,2223,1,0,2,0,3,2,516,RL,Y,NAmes,1Fam,1Story,244000
20,69.0,7599,4,6,1982,1,845,1,0,1,0,2,0,360,RL,Y,Mitchel,1Fam,1Story,129500
60,74.0,10141,7,5,1998,0,1718,0,0,2,1,3,1,427,RL,Y,Gilbert,1Fam,2Story,185000
20,85.0,10200,5,7,1954,1,1086,1,0,1,0,3,0,490,RL,Y,NAmes,1Fam,1Story,144900
50,60.0,5790,3,6,1915,1,1605,0,0,2,0,3,0,379,RM,Y,OldTown,1Fam,2Story,107400
180,21.0,1596,4,5,1973,0,988,1,0,1,0,2,0,297,RM,Y,MeadowV,Twnhs,SLvl,91000
20,,8475,4,7,1956,0,952,0,0,1,0,2,0,283,RL,Y,NAmes,1Fam,1Story,135750
50,50.0,8635,5,5,1948,1,1285,1,0,1,0,2,0,240,RM,Y,BrkSide,1Fam,1.5Fin,127000
90,72.0,10778,4,5,1968,0,1768,0,0,2,0,4,0,0,RL,Y,Sawyer,Duplex,1Story,136500
50,60.0,10440,5,6,1910,1,1230,0,0,1,1,2,0,440,RM,Y,OldTown,1Fam,2Story,110000
60,100.0,13000,6,6,1968,0,2142,0,0,2,1,4,1,509,RL,Y,NAmes,1Fam,2Story,193500
120,32.0,4500,6,5,1998,0,1337,1,0,2,0,2,0,405,RM,Y,Mitchel,TwnhsE,1Story,153500
20,78.0,10206,8,5,2007,0,1563,0,0,2,0,3,1,758,RL,Y,Somerst,1Fam,1Story,245000
20,80.0,8892,5,5,1960,0,1065,0,0,1,1,3,0,461,RL,Y,NAmes,1Fam,1Story,126500
80,,8530,7,5,1995,1,1474,0,0,2,1,3,1,400,RL,Y,Gilbert,1Fam,SLvl,168500
60,121.0,16059,8,5,1991,1,2417,0,0,2,1,4,1,462,RL,Y,NoRidge,1Fam,2Story,260000
60,122.0,11911,6,5,2005,0,1560,0,0,2,1,3,1,400,RL,Y,Gilbert,1Fam,2Story,174000
160,40.0,3951,6,5,2009,0,1224,0,0,2,1,2,0,528,FV,Y,Somerst,TwnhsE,2Story,164500
50,105.0,8470,3,2,1915,1,1526,0,0,1,0,2,0,0,C (all),N,IDOTRR,1Fam,1.5Fin,85000
20,60.0,8070,4,5,1994,1,990,1,0,1,0,3,0,0,RL,Y,CollgCr,1Fam,1Story,123600
20,60.0,7200,4,5,1950,0,1040,0,0,1,0,2,0,420,RL,Y,NAmes,1Fam,1Story,109900
20,85.0,8500,5,3,1961,0,1235,0,0,1,0,2,0,480,RL,Y,NAmes,1Fam,1Story,98600
30,80.0,13360,5,7,1921,1,964,1,0,1,0,2,0,432,RL,Y,Crawfor,1Fam,1Story,163500
190,60.0,7200,6,6,1910,1,2291,0,1,2,0,4,1,506,C (all),Y,OldTown,2fmCon,2.5Unf,133900
60,69.0,9337,6,5,1997,0,1786,1,0,2,1,3,0,684,RL,Y,CollgCr,1Fam,2Story,204750
60,,9765,6,8,1993,0,1470,0,0,2,1,3,1,420,RL,Y,Gilbert,1Fam,2Story,185000
20,78.0,10264,7,5,1999,0,1588,0,0,2,0,3,0,472,RL,Y,CollgCr,1Fam,1Story,214000
20,73.0,10921,4,5,1965,0,960,1,0,1,0,3,0,432,RL,P,Edwards,1Fam,1Story,94750
30,85.0,10625,5,5,1920,1,835,0,0,1,0,2,0,366,RL,Y,Edwards,1Fam,1Story,83000
20,77.0,9320,4,5,1959,0,1225,1,0,1,1,3,0,0,RL,Y,NAmes,1Fam,1Story,128950
20,,10603,6,7,1977,1,1610,1,0,2,0,3,2,480,RL,Y,NWAmes,1Fam,1Story,205000
60,77.0,9206,6,5,1985,0,1732,0,0,2,1,3,1,476,RL,Y,SawyerW,1Fam,2Story,178000
90,64.0,7018,5,5,1979,0,1535,0,0,2,0,4,0,410,RL,Y,SawyerW,Duplex,1Story,118964
20,94.0,10402,7,5,2009,0,1226,0,0,2,0,3,0,740,RL,Y,CollgCr,1Fam,1Story,198900
50,,7758,7,4,1931,1,1818,0,0,1,1,4,2,240,RM,Y,IDOTRR,1Fam,1.5Fin,169500
60,75.0,9375,8,5,2003,1,1992,0,0,2,1,3,1,648,FV,Y,Somerst,1Fam,2Story,250000
30,60.0,10800,4,7,1885,1,1047,0,0,1,0,2,0,273,RM,N,OldTown,1Fam,1Story,100000
20,50.0,6000,5,5,1948,1,789,0,0,1,0,2,0,250,RM,Y,OldTown,1Fam,1Story,115000
50,85.0,8500,5,7,1919,1,1517,0,0,2,0,3,0,0,RM,N,IDOTRR,1Fam,1.5Fin,115000
20,105.0,11751,6,6,1977,0,1844,0,0,2,0,3,1,546,RL,Y,NWAmes,1Fam,1Story,190000
50,75.0,9525,6,4,1954,1,1855,0,0,2,0,4,0,325,RL,Y,Edwards,1Fam,1.5Fin,136900
80,,7750,7,5,2000,0,1430,0,0,2,1,3,1,400,RL,Y,Gilbert,1Fam,SLvl,180000
60,77.0,9965,7,5,2007,0,2696,1,0,2,1,4,1,792,RL,Y,CollgCr,1Fam,2Story,383970
20,,21000,6,5,1953,0,2259,1,0,2,0,3,2,450,RL,Y,Crawfor,1Fam,1Story,217000
70,61.0,7259,6,8,1945,1,2320,1,0,2,1,3,1,180,RL,Y,Crawfor,1Fam,2Story,259500
160,34.0,3230,6,5,1999,0,1458,0,0,2,1,2,1,440,FV,Y,Somerst,TwnhsE,2Story,176000
20,,11616,5,5,1962,0,1092,0,1,1,0,3,1,288,RL,Y,Sawyer,1Fam,1Story,139000
20,74.0,8536,5,5,2006,1,1125,0,0,1,1,2,0,430,RL,Y,Edwards,1Fam,1Story,155000
60,90.0,12376,7,5,1990,0,3222,1,0,3,0,5,2,594,RL,Y,SawyerW,1Fam,2Story,320000
60,65.0,8461,6,5,2005,1,1456,0,0,2,1,3,1,390,RL,Y,CollgCr,1Fam,2Story,163990
80,,21453,6,5,1969,0,988,1,0,1,0,1,2,540,RL,Y,ClearCr,1Fam,SLvl,180000
50,50.0,6060,4,5,1939,1,1123,0,0,1,0,3,0,264,RM,P,IDOTRR,1Fam,1.5Fin,100000
20,75.0,9464,6,7,1958,0,1080,0,0,1,0,3,0,288,RL,Y,NAmes,1Fam,1Story,136000
120,55.0,7892,6,5,1993,0,1199,0,0,2,0,2,0,530,RL,Y,SawyerW,TwnhsE,1Story,153900
20,48.0,17043,6,5,1979,1,1586,0,0,2,0,3,1,435,RL,Y,NWAmes,1Fam,1Story,181000
190,60.0,6780,6,8,1935,1,754,1,0,1,0,2,0,0,RM,N,IDOTRR,2fmCon,1.5Fin,84500
120,,4928,6,5,1976,0,958,0,0,2,0,2,1,440,RL,Y,NPkVill,TwnhsE,1Story,128000
45,55.0,4388,5,7,1930,1,840,0,0,1,0,3,1,0,RM,N,OldTown,1Fam,1.5Unf,87000
60,69.0,7590,6,5,1966,0,1348,0,0,1,1,3,1,453,RL,Y,NAmes,1Fam,2Story,155000
20,69.0,8973,5,7,1958,1,1053,0,1,1,1,3,0,750,RL,Y,NAmes,1Fam,1Story,150000
60,88.0,14200,7,6,1966,0,2157,0,0,2,1,4,2,487,RL,Y,NAmes,1Fam,2Story,226000
60,,12224,6,5,2000,0,2054,1,0,2,1,3,1,390,RL,Y,Gilbert,1Fam,2Story,244000
20,75.0,7388,5,6,1959,1,1327,1,0,1,0,3,0,624,RL,Y,NAmes,1Fam,1Story,150750
20,,6853,8,5,2001,1,1296,1,0,2,0,2,0,471,RL,Y,Timber,1Fam,1Story,220000
20,78.0,10335,5,6,1968,1,1721,0,0,2,1,3,1,440,RL,Y,Sawyer,1Fam,1Story,180000
20,80.0,10400,7,6,1970,0,1682,0,0,2,0,3,1,530,RL,Y,NWAmes,1Fam,1Story,174000
20,,10355,5,5,1967,0,1214,0,0,2,0,3,1,318,RL,Y,NAmes,1Fam,1Story,143000
90,82.0,11070,7,5,1988,1,1959,0,0,3,0,5,0,766,RL,Y,Mitchel,Duplex,1Story,171000
60,73.0,9066,8,5,1999,1,1852,0,0,2,1,3,2,660,RL,Y,CollgCr,1Fam,2Story,230000
60,65.0,15426,6,5,1997,0,1764,1,0,2,1,3,0,470,RL,Y,CollgCr,1Fam,2Story,231500
20,70.0,10500,4,5,1971,0,864,0,0,1,0,3,1,0,RL,Y,NAmes,1Fam,1Story,115000
20,78.0,11645,7,5,2005,0,1734,1,0,2,0,3,0,660,RL,Y,CollgCr,1Fam,1Story,260000
50,71.0,8520,5,4,1952,0,1385,0,0,2,0,4,0,720,RL,Y,NAmes,1Fam,1.5Fin,166000
20,78.0,10335,7,5,1999,0,1501,1,0,2,0,3,0,577,RL,Y,CollgCr,1Fam,1Story,204000
90,70.0,9100,5,5,1963,0,1728,1,0,2,0,6,0,504,RM,Y,Sawyer,Duplex,1Story,125000
160,24.0,2522,6,5,2004,1,1709,0,0,2,0,3,0,380,RM,Y,Edwards,Twnhs,2Story,130000
30,51.0,6120,5,7,1931,1,875,1,0,1,0,2,0,180,RM,Y,BrkSide,1Fam,1Story,105000
60,,9505,7,5,2001,0,2035,0,0,2,1,3,1,434,RL,Y,Gilbert,1Fam,2Story,222500
20,63.0,7500,7,5,2004,1,1080,1,0,1,0,3,0,0,RL,Y,SawyerW,1Fam,1Story,141000
50,,6240,5,4,1936,1,1344,0,0,1,0,3,0,240,RM,Y,BrkSide,1Fam,1.5Fin,115000
20,120.0,10356,5,6,1975,0,969,0,0,1,1,3,0,440,RL,Y,CollgCr,1Fam,1Story,122000
20,107.0,13891,8,5,2007,1,1710,1,0,2,0,2,1,866,RL,Y,NridgHt,1Fam,1Story,372402
60,,14803,6,5,1971,0,1993,0,0,2,1,4,1,495,RL,Y,NWAmes,1Fam,2Story,190000
20,,13500,6,7,1960,1,1252,1,0,1,0,1,1,564,RL,Y,ClearCr,1Fam,1Story,235000
30,84.0,11340,6,5,1923,1,1200,0,0,1,0,4,0,312,RM,Y,OldTown,1Fam,1Story,125000
50,60.0,9600,6,5,1924,1,1096,0,0,1,0,2,0,0,RL,N,Edwards,1Fam,1.5Fin,79000
20,60.0,7200,5,7,1950,0,1040,0,0,1,0,2,0,625,RL,Y,NAmes,1Fam,1Story,109500
60,92.0,12003,8,5,2009,1,1968,0,0,2,1,4,1,680,RL,Y,Timber,1Fam,2Story,269500
60,100.0,12552,7,5,2004,1,1947,0,0,2,1,3,1,678,FV,Y,Somerst,1Fam,2Story,254900
60,134.0,19378,7,5,2005,1,2462,1,0,2,1,4,1,576,RL,Y,Gilbert,1Fam,2Story,320000
20,,11120,6,6,1984,0,1232,0,0,2,0,3,0,516,RL,Y,Veenker,1Fam,1Story,162500
60,110.0,13688,9,5,2003,1,2668,1,0,2,1,3,2,726,RL,Y,NridgHt,1Fam,2Story,412500
20,95.0,12182,7,5,2005,0,1541,0,0,2,0,3,1,532,RL,Y,NridgHt,1Fam,1Story,220000
45,55.0,5500,4,6,1956,0,882,0,0,1,0,1,0,0,RL,Y,OldTown,1Fam,1.5Unf,103200
40,40.0,5400,6,7,1926,1,1616,0,0,2,0,3,0,216,RM,Y,OldTown,1Fam,1Story,152000
190,62.0,10106,5,7,1940,1,1355,1,0,2,0,4,0,0,RL,Y,Edwards,2fmCon,1.5Fin,127500
20,,10708,5,5,1955,1,1867,1,0,1,0,2,3,303,RL,Y,ClearCr,1Fam,1Story,190000
60,86.0,10562,8,5,2007,0,2161,1,0,1,1,3,1,789,RL,Y,NridgHt,1Fam,2Story,325624
60,62.0,8244,7,5,2004,0,1720,0,0,2,1,3,1,440,RL,Y,Gilbert,1Fam,2Story,183500
20,,16669,8,6,1981,0,1707,0,0,2,1,2,1,511,RL,Y,Timber,1Fam,1Story,228000
50,,12358,5,6,1941,1,1382,0,0,1,1,2,0,660,RM,Y,OldTown,1Fam,1.5Fin,128500
20,141.0,31770,6,5,1960,0,1656,1,0,1,0,3,2,528,RL,P,NAmes,1Fam,1Story,215000
160,44.0,5306,7,7,1987,0,1767,1,0,2,0,2,1,504,RL,Y,StoneBr,TwnhsE,2Story,239000
20,80.0,10197,6,5,1961,0,1362,1,0,1,1,3,1,504,RL,Y,NAmes,1Fam,1Story,163000
20,47.0,12416,6,5,1986,0,1651,1,0,2,0,3,1,616,RL,Y,Timber,1Fam,1Story,184000
20,84.0,12615,6,7,1950,1,2158,1,0,2,0,4,1,576,RL,Y,Edwards,1Fam,1Story,243000
60,97.0,10029,6,5,1988,1,2060,0,1,2,1,4,1,521,RL,Y,ClearCr,1Fam,2Story,211000
50,,13650,5,5,1958,0,1920,1,0,2,0,4,1,451,RL,Y,Sawyer,1Fam,1.5Fin,172500
20,63.0,17423,9,5,2008,1,2234,1,0,2,0,1,1,1166,RL,Y,StoneBr,1Fam,1Story,501837
30,60.0,8520,5,6,1923,1,968,0,0,1,0,2,0,480,RM,N,OldTown,1Fam,1Story,100000
160,,2117,6,5,2000,0,1525,0,0,2,1,3,1,440,FV,Y,Somerst,Twnhs,2Story,177000
70,54.0,7588,7,6,1920,1,1802,0,0,1,1,4,1,216,RL,Y,Crawfor,1Fam,2Story,200100
20,60.0,9060,5,6,1957,1,1340,0,0,1,0,3,1,252,RL,Y,Edwards,1Fam,1Story,120000
50,63.0,11426,7,5,2003,0,2082,0,0,2,1,3,0,484,RM,N,OldTown,1Fam,1.5Fin,200000
50,92.0,7438,5,8,1908,1,1252,0,0,1,0,3,0,576,RL,Y,BrkSide,1Fam,1.5Fin,127000
75,90.0,22950,10,9,1892,1,3608,0,0,2,1,4,2,840,RM,Y,OldTown,1Fam,2.5Fin,475000
80,,9947,7,5,1990,1,1217,1,0,2,0,3,0,497,RL,Y,Mitchel,1Fam,SLvl,173000
50,60.0,10410,5,7,1916,1,1656,0,0,2,1,3,0,180,RL,N,OldTown,1Fam,1.5Fin,135000
90,64.0,7018,5,5,1979,0,1224,2,0,0,2,2,2,528,RL,Y,SawyerW,Duplex,SFoyer,153337
120,41.0,4923,8,5,2001,1,1593,1,0,1,1,0,1,682,RL,Y,StoneBr,TwnhsE,1Story,286000
70,70.0,10570,8,8,1932,1,2727,0,0,2,1,3,2,440,RL,Y,Crawfor,1Fam,2Story,315000
60,,7472,7,9,1972,1,1479,1,0,1,1,4,0,484,RL,Y,NAmes,1Fam,2Story,184000
20,68.0,9017,7,5,1999,0,1431,1,0,2,0,3,0,666,RL,Y,CollgCr,1Fam,1Story,192000
160,24.0,2522,7,5,2004,0,1709,0,0,2,0,3,0,380,RM,Y,Edwards,Twnhs,2Story,130000
20,60.0,7180,5,7,1972,0,864,0,0,1,0,3,0,352,RL,Y,CollgCr,1Fam,1Story,127000
160,24.0,2280,6,6,1976,0,1456,0,0,2,1,3,1,440,RL,Y,NPkVill,Twnhs,2Story,148500
20,79.0,9416,7,5,2007,0,1726,1,0,2,0,3,1,786,RL,Y,Somerst,1Fam,1Story,311872
75,174.0,25419,8,4,1918,1,3112,1,1,2,0,4,1,795,RL,Y,NAmes,1Fam,2Story,235000
75,92.0,5520,6,6,1912,1,2229,0,0,1,0,5,0,0,RM,Y,OldTown,1Fam,2.5Fin,104000
20,76.0,9591,8,5,2004,1,1713,1,0,2,0,3,1,856,RL,Y,NridgHt,1Fam,1Story,274900
20,80.0,8546,4,5,2003,1,1121,0,0,2,0,2,0,440,RM,Y,Edwards,1Fam,1Story,140000
20,75.0,10125,6,6,1977,0,1279,0,1,2,0,3,2,473,RL,Y,Mitchel,1Fam,1Story,171500
50,50.0,7000,6,6,1924,1,1310,0,0,2,0,2,0,398,RL,Y,OldTown,1Fam,1.5Fin,112000
120,,4438,6,5,2004,0,848,1,0,1,0,1,1,420,RM,Y,CollgCr,TwnhsE,1Story,149000
50,50.0,3500,5,7,1947,1,1284,0,0,1,1,2,0,240,RM,Y,OldTown,1Fam,1.5Fin,110000
20,99.0,11851,7,5,1990,0,1442,0,0,2,0,3,0,500,RL,Y,Gilbert,1Fam,1Story,180500
20,40.0,13673,5,5,1962,0,1696,0,0,1,1,3,1,349,RL,Y,Sawyer,1Fam,1Story,143900
20,,12493,4,5,1960,0,1100,1,0,1,0,3,1,312,RL,Y,NAmes,1Fam,1Story,141000
60,,14364,7,5,1988,1,2062,1,0,2,1,3,1,454,RL,Y,SawyerW,1Fam,2Story,277000
20,75.0,8250,6,7,1964,0,1092,1,0,1,0,3,0,504,RL,Y,NAmes,1Fam,1Story,145000
30,67.0,5604,5,6,1925,1,864,1,0,1,0,2,0,0,RL,Y,Edwards,1Fam,1Story,98000
20,83.0,10420,6,5,2009,0,1212,0,0,2,0,3,0,460,RL,Y,Edwards,1Fam,1Story,186000
60,72.0,8640,7,5,2009,0,1852,1,0,2,1,3,1,644,FV,Y,Somerst,1Fam,2Story,252678
20,43.0,13568,5,5,1995,0,990,0,1,1,0,3,0,576,RL,Y,CollgCr,1Fam,1Story,156000
60,,10900,6,7,1977,0,1392,0,0,1,1,3,0,299,RL,Y,CollgCr,1Fam,2Story,161750
20,72.0,10011,5,6,1957,1,1236,0,1,1,0,2,1,447,RL,Y,NAmes,1Fam,1Story,134450
20,65.0,8450,7,5,2004,0,1436,1,0,2,0,3,0,484,RL,Y,CollgCr,1Fam,1Story,210000
70,57.0,9906,4,4,1925,1,1328,0,0,1,0,3,0,210,RM,Y,OldTown,1Fam,2Story,107000
50,,15660,7,9,1939,1,1954,0,1,1,1,3,2,431,RL,Y,Crawfor,1Fam,1.5Fin,311500
120,43.0,3010,7,5,2005,1,1248,0,0,2,0,2,0,438,RL,Y,Blmngtn,TwnhsE,1Story,167240
20,73.0,8990,7,5,2006,0,1498,0,0,2,0,2,0,675,RL,Y,CollgCr,1Fam,1Story,204900
60,,8068,6,5,2002,0,2267,0,0,2,1,4,1,390,RL,Y,Gilbert,1Fam,2Story,200000
60,85.0,11475,6,6,1975,0,1552,1,0,2,1,3,1,434,RL,Y,NWAmes,1Fam,2Story,179900
20,70.0,10500,4,6,1971,0,864,0,0,1,0,2,0,576,RL,Y,NAmes,1Fam,1Story,97000
20,103.0,13472,10,5,2003,0,2392,0,0,2,0,3,1,968,RL,Y,NridgHt,1Fam,1Story,386250
160,21.0,1680,5,5,1971,0,1302,0,0,2,1,3,0,280,RM,Y,BrDale,Twnhs,2Story,112000
60,82.0,9950,7,5,1995,0,2520,0,0,2,1,4,1,721,RL,Y,NoRidge,1Fam,2Story,290000
160,21.0,1869,6,6,1970,0,987,0,0,1,1,2,0,280,RM,Y,BrDale,Twnhs,2Story,106000
20,70.0,8521,5,5,1967,0,912,0,0,1,0,3,1,336,RL,Y,Sawyer,1Fam,1Story,125000
120,43.0,3182,7,5,2005,1,1555,0,0,2,0,2,1,430,RL,Y,Blmngtn,TwnhsE,1Story,192500
20,73.0,8760,6,6,1959,0,1194,1,0,1,0,3,0,312,RL,Y,NAmes,1Fam,1Story,148000
60,174.0,15138,8,5,1995,1,2794,1,0,2,1,4,1,810,RL,Y,NoRidge,1Fam,2Story,403000
160,21.0,1680,6,5,1972,0,987,0,0,1,1,2,1,288,RM,Y,BrDale,Twnhs,2Story,94500
20,75.0,10650,5,6,1976,0,894,1,0,1,0,3,0,308,RL,Y,CollgCr,1Fam,1Story,128200
