category_desc,title
Education,Education Nonprofit Seeks Recruitment Volunteers
Strengthening Communities,"Mentors, Register to Attend A Breakfast Orientation January 24, 2011"
Strengthening Communities,Outreach and Marketing Assistant
Helping Neighbors in Need,Deliver a Winter Package and Visit with an isolated Manhattan Senior
Health,Exercise Coach/Instructor
Strengthening Communities,Queens-Volunteer at Family Night on the Beach
Strengthening Communities,Youth for Change & Seniors for Change Art Programs
Helping Neighbors in Need,Volunteer for Consumer Protection Law Project
Strengthening Communities,Liver Life Walk 2011
Strengthening Communities,Community Leader
Helping Neighbors in Need,Sunday Soup Kitchen Outreach Volunteers
Strengthening Communities,Eastern John Muir Volunteer Day
Strengthening Communities,Street Vendor Project - Join Our Monthly Outreach Team!
Strengthening Communities,Fiesta! Volunteers
Helping Neighbors in Need,JASA Throgs Neck Computer Volunteer
Helping Neighbors in Need,Computer Teacher
Strengthening Communities,Leadership Council volunteer opportunity
Helping Neighbors in Need,Conversation Leader
Education,Homework Helpers and Tutors for Kids Grades K-1!!
Helping Neighbors in Need,Pantry Distribution
Strengthening Communities,Garden Assistant Volunteer Program
Strengthening Communities,Earth Day Volunteers needed-Queens
Strengthening Communities,TECH & WEBSITE DESIGN VOLUNTEER OPPORTUNITIES
Strengthening Communities,Cents Ability Classroom Set-up
Strengthening Communities,Brush of Kindness
Environment,Transportation Alternatives Bike Valet
Strengthening Communities,Video Editing for Professionals
Education,Stipend After School Program Mentor Opportunity
Helping Neighbors in Need,Networking Workshop Volunteer
Strengthening Communities,Bowling Fun at Harlem Lanes 
Health,Seeking Volunteer Yoga Instructor
Helping Neighbors in Need,Summer Spanish or French Instructor
Helping Neighbors in Need,Help Feed Hungry New Yorkers --55+ Only
Helping Neighbors in Need,Event phone bank representative
Education,Reach Out and Read-Morris Heights Health Center
Strengthening Communities,Special Camp Fair 2012
Health,Susan G. Komen for the Cure's Greater NYC Affiliate Needs Volunteers
Strengthening Communities,2011 Dumbo Arts Festival
Strengthening Communities,Organizational Budget Design and Development for Professionals
Helping Neighbors in Need,Money Makes Sense
Strengthening Communities,Computer Training
Education,Girl Scout Series - East Harlem Site 2
Strengthening Communities,Volunteer Videographer
Strengthening Communities,Fly-by-Night Dance Theater - Volunteer Grant Writer for Youth Dance Program
Strengthening Communities,Event Planning
Strengthening Communities,Grant Proposal Preparation for Professionals
Strengthening Communities,Fund Raising
Strengthening Communities,Harm Reduction Adv
Strengthening Communities,Marketing Intern for Youth Programs Serving LGBT Youth
Health,Teach Adults and Kids how to Ride Bikes!
Helping Neighbors in Need,Grant Research (Fundraising and Developement )
Helping Neighbors in Need,Soup Kitchen Cook
Education,Row New York Afterschool Volunteer Tutor for Middle School
Education,Winter Literacy Night!
Strengthening Communities,College Shower Fundraisers
Strengthening Communities,IT Assistant
Helping Neighbors in Need,Interpreters and Lawyers Needed to Help the NYC Haitian Community
Helping Neighbors in Need,Teacher for ABE and Pre-GED students
Environment,Monitor recycling at Astoria Street Fair
Strengthening Communities,Million Trees NYC Community Tree Giveaway
Education,Do you want to make a Difference?   Volunteer at ClassWish.org!
Helping Neighbors in Need,SNOW SHOVELING FOR SENIORS
Helping Neighbors in Need,Volunteer Citizenship Tutor
Strengthening Communities,Press List for Professionals
Strengthening Communities,Public Relations Plan for Professionals
Strengthening Communities,Business Plan Review for Professionals
Education,Jumpstart's Friendship Day at Positive Beginnings
Strengthening Communities,Press Kit for Professionals
Education,B.A.C. Mentors
Health,Bronx: Water Aerobics Instructor For Shape Up NYC at St. Mary's recreation center
Education,Does your organization need an intern?
Strengthening Communities,Board Member Search Strategy for Professionals
Education,ESL Teacher Assistant
Strengthening Communities,Storytelling for Professionals
Helping Neighbors in Need,Help New Yorkers Affected by the Storm in the Bronx 
Health,Teach Adults and Kids how to Ride Bikes!
Education,Help Transform Lives and Strengthen Communities - Become a Mentor - 55+ Only  
Helping Neighbors in Need,Be a Driver and Make a Difference - 55+ Only
Helping Neighbors in Need,Help NYC Veterans
Helping Neighbors in Need,Chinese Translator
Strengthening Communities,Arts Instructors
Strengthening Communities,Museum Membership Department Volunteer
Strengthening Communities,Director of Public Relations 
Strengthening Communities,Paint and beautify a transitional residence for homeless men & women
Strengthening Communities,Tank Internship Program
Strengthening Communities,Special Projects Manager
Environment,Run for the Wild 
Education,Become a Tutor for Boys Hope Girls Hope New York!
Strengthening Communities,Marketing and Communications Intern
Education,Help Raise College Awareness- Become a Middle School Mentor!
Strengthening Communities,Administrative Assistant 
Helping Neighbors in Need,Senior Alliance Registrar
Helping Neighbors in Need,MS Word Tutor
Helping Neighbors in Need,Career Counselor 
Helping Neighbors in Need,Deliver a Passover Package and Visit with a Senior
Strengthening Communities,Early Childhood Education Outreach Volunteer
Education,Tutors Needed!!!!
Strengthening Communities,Help Build a Plastic Bottle Sculpture
Strengthening Communities,Volunteer with Storytelling in the Park-Queens
Strengthening Communities,Pride Is Just Around the Corner! Get Involved Now!
Education,Tutor with The Fresh Air Fund
Education,Volunteer Instructors/Teachers/Mentors
Strengthening Communities,Find the Perfect Volunteer Job for You!
Helping Neighbors in Need,Tutor
Strengthening Communities,Office Volunteer
Education,Volunteer Writing Mentor
Strengthening Communities,Data Entry Assistant
Helping Neighbors in Need,Leadership and Community Activism Mentor
Strengthening Communities,Photography for Professionals
Strengthening Communities,Salesforce Database Customization for Professionals
Strengthening Communities,Photo Essay for Professionals
Strengthening Communities,Legal Advisor
Strengthening Communities,Hike-A-Thon
Strengthening Communities,Fundraising Coordinator
Strengthening Communities,Laser Tag with Harlem Dowling 175th Street 
Strengthening Communities,Information Technology Support 
Strengthening Communities,Fall Forest Restoration Volunteer Kickoff
Helping Neighbors in Need,Trevor Lifeline Counselors
Health,Street Games in Harlem's Thomas Jefferson Park
Strengthening Communities,Communications Materials Review for Professionals
Education,School Year Internship: Fall 2011 Development Intern
Strengthening Communities,Assistant to Founder and Executive Director
Strengthening Communities,Volunteer at Haunted Lantern Tours at Fort Totten-Queens
Helping Neighbors in Need,National Sexual Assault Online Hotline Volunteer
Emergency Preparedness,Emergency Preparedness Organization Seeks Community Trainers
Education,Latino and African American Youth Serving Program
Strengthening Communities,Clothing Drive for Returning Veterans 
Strengthening Communities,"Seeds for Success: Plant for today, Growth for tomorrow"
Environment,Volunteer at UDEC ENVIROMEDIA MOBILE's MARITIME BACCHANAL & PIRATES FEST at IKEA ERIE BASIN PARK
Health,American Diabetes Association - FERIA DE SALUD!
Helping Neighbors in Need,"Nepali, Bangla and Punjabi translators needed!"
Education,Teach Adults and Kids how to Ride Bikes!
Strengthening Communities,Not-for-profit Volunteer opportunities with pioneer Capoeira arts organization (various positions)
Emergency Preparedness,Dispatcher Trainee (Volunteer)
Strengthening Communities,Join the ING NYC Marathon and Run for Art Programs: Team Free Arts! 
Strengthening Communities,Do you Love Books?
Helping Neighbors in Need,Dear Trevor Authors 
Helping Neighbors in Need,Kitchen Aide for JASA Scheuer House
Strengthening Communities,Merchandise Design for Professionals
Helping Neighbors in Need,Donate School Supplies to Kids in the Bronx
Strengthening Communities,"""Farm to Feast"" Gala at Battery Park"
Environment,Beach Clean Up
Helping Neighbors in Need,Rise Up Stay Put Home Rescue Fair!!
Health,Soccer/Futsal Assistant Coach
Strengthening Communities,Girl Scout Series - Brooklyn
Strengthening Communities,Volunteer Recruitment 
Strengthening Communities,Performing Arts Volunteer
Helping Neighbors in Need,Advanced ESL classes (Women)
Strengthening Communities,2011 World Science Festival Volunteers Needed! 
Strengthening Communities,Graphic Designer 
Strengthening Communities,Western John Muir Volunteer Day
Strengthening Communities,Americorps ACES Economic Security Initiative (ESI) Coordinator
Health,JASA Volunteer Exercise Teachers at H.E.S. and Mill Basin Senior Centers
Helping Neighbors in Need,Help Feed Your Community in Midtown East
Health,Bronx: Zumba Instructor for Shape Up NYC at St. Mary's Recreation Center
Strengthening Communities,Vision and Mission Analysis for Professionals
Environment,Fall Forest Restoration Volunteer Kickoff
Strengthening Communities,Office Assistant
Strengthening Communities,Computer Lab Teaching Assistant
Helping Neighbors in Need,Volunteer to Assist Homeless Adults with Resume Building
Health,American Cancer Society Coaches vs. Cancer Committee Opportunity
Helping Neighbors in Need,Russian translator
Strengthening Communities,Fundraising Plan for Professionals
Strengthening Communities,Foster Care Recruitment Celebration Event on  May 21th
Strengthening Communities,"Seeking Research, Writing, and Editing Volunteers"
Strengthening Communities,One-Pager for Professionals
Helping Neighbors in Need,Clothing Donation Day Volunteers Needed!
Emergency Preparedness,Help Clean Up after Hurricane Irene in Far Rockaway
Education,Girl Scout Series - Harlem 
Strengthening Communities,Event Planning for Professionals
Strengthening Communities,Do You Enjoy Working on a Computer? --55+ Only
Education,Tutors Needed in Harlem!
Helping Neighbors in Need,Brooklyn Special Olympics Bowling Tournament
Education,"Volunteer Tutors, College Mentors, and Reading Partners!!"
Helping Neighbors in Need,JASA Cooper Square Thrift Shop Volunteer
Strengthening Communities,Design Education Volunteer Opportunities
Strengthening Communities,Spring Volunteer Kickoff 
Helping Neighbors in Need,Case Management Intern
Strengthening Communities,FVCP Trail Restoration Crew
Strengthening Communities,Halloween Carnival Committee 
Strengthening Communities,Walkathon Feasibility Analyst
Strengthening Communities,Volunteer at the Police Museum--55+ Only
Education,Arts Seminar Leaders for High School Program
Health,Nutrition Workshop for Seniors
Helping Neighbors in Need,Work With Visually Impaired Teens This Summer!
Environment,Energy Efficiency Outreach
Strengthening Communities,End of Season Celebration 
Helping Neighbors in Need,Volunteer for an Outreach Campaign on Public Benefits
Helping Neighbors in Need,Russian speaking volunteer needed to work with Seniors
Strengthening Communities,Park Volunteer 
Emergency Preparedness,Administrative Support Volunteer
Emergency Preparedness,Volunteers Needed for Volunteer Reception Center Drill
Strengthening Communities,Copywriting for Professionals
Strengthening Communities,IT website Coord/manager for New York Futsal (p/t)
Strengthening Communities,Have A Penchant For All Things Vintage? Volunteer with a Thriftshop --55+ Only
Strengthening Communities,IT Assistant
Education,Business Partner- PENCIL Partnership Program
Helping Neighbors in Need,Pantry Packing Tuesday
Strengthening Communities,Business Plan Writer
Health,8th Annual Children's Sports & Fitness Expo
Education,Mentor Homeless Youth
Emergency Preparedness,Help New York Cares with Hurricane Irene Clean-Up
Strengthening Communities,Director of Development
Helping Neighbors in Need,Cheerleaders Wanted!
Strengthening Communities,Become a Skilled Volunteer with Habitat-NYC
Strengthening Communities,Finance Assistant
Helping Neighbors in Need,Coffee & Conversation: English Practice for English Learners
Strengthening Communities,Healthy Communities- Get Active Day
Strengthening Communities,"Our Time's 9th Annual Benefit Gala - April 11, 2011"
Education,Fashion Workshop Volunteer
Strengthening Communities,Volunteer at Highland Park Strawberry Festival
Strengthening Communities,Arts Volunteer Opportunity
Education,Mentor
Education,Teach Adults and Kids how to Ride Bikes!
Education,Classroom Assistants
Strengthening Communities,Central Park Zoo with Harlem Dowling 125th! 
Health,Special Event Volunteers (Brooklyn)
Strengthening Communities,Bideawee Greeters
Education,Be the Change. Become a Mentor! 
Helping Neighbors in Need,Looking for a Special Opportunity to Make a Real Impact?
Strengthening Communities,Help inform people of recycling practices in Central Park
Strengthening Communities,Lifebeat Intern - General
Education,Volunteer at StreetSquash Summer Discovery 2011!
Strengthening Communities,Get the tools to volunteer for Recycling!
Health,Health Services Office Assistant
Strengthening Communities,Administrative Intern
Strengthening Communities,Fundraising and Event Volunteers Needed 
Strengthening Communities,Neighborhood Profiles Coordinator
Strengthening Communities,Take a Stand Against Violence
Strengthening Communities,Technology Expert Advice for Professionals
Helping Neighbors in Need,TimeBanksNYC June Event Schedule
Helping Neighbors in Need,JASA Volunteer ESL Teacher at H.E.S. Senior Center
Strengthening Communities,Crowdfunding for Professionals
Helping Neighbors in Need,Feed our East Harlem community
Strengthening Communities,Penny Harvest Run For Change!
Environment,Queens Green Teens opportunity
Health,"Chefs, Nutritionists and Foodies Wanted!"
Education,Bronx One on One Mentoring Program (BOOM)
Strengthening Communities,E-Newsletter Writing for Professionals
Helping Neighbors in Need,Help New Yorkers Affected by the Storm in Brooklyn 
Education,Tutors Needed: High School of Art and Design
Strengthening Communities,Come Volunteer at our Great Strides Walks 
Education,Mentors 
Strengthening Communities,Volunteer Childcare Coordinator
Strengthening Communities,Social Media Campaign for Professionals
Helping Neighbors in Need,Giving At the Soup Kitchen Can be Fun - 55+ Only
Environment,Garden Crew
Emergency Preparedness,Help Clean Up after Hurricane Irene in Far Rockaway
Strengthening Communities,Summer day camp volunteer
Education,Transportation Alternatives Bike Ambassador Data Entry Volunteers
Strengthening Communities,Young Professionals Committee 2nd Annual Summer Benefit
Strengthening Communities,Thanksgiving Feeding of the Needy 2011
Education,School Year Internship: Fall 2011 Program Intern
Strengthening Communities,Event Publicity for Professionals
Helping Neighbors in Need,Patient and Caregiver Support
Helping Neighbors in Need,Friendly Visiting - Visit Homebound Seniors
Education,Tutor Students with FC Harlem
Strengthening Communities,"NYAWC Spring Volunteer Information Forum, come learn about volunteering with NYAWC, (Refreshments)"
Education,MATH tutors needed!
Strengthening Communities,Online Marketing Plan for Professionals
Strengthening Communities,Sara D Roosevelt Park Cleanup/Beautification Project
Education,Row New York Afterschool Volunteer Tutor for High School
Strengthening Communities,Museum Visitor Services Volunteer
Helping Neighbors in Need,Special Events Assistant
Strengthening Communities,Animal Foster Parent
Environment,Hudson River Clean-up
Strengthening Communities,Mariners' Response to 9-11: Exhibit Aboard the LILAC
Education,Science Center Open House Volunteers!
Strengthening Communities,Queens Fall Harvest Festival-volunteers Needed!`
Helping Neighbors in Need,Client Services and Welcome Desk
Helping Neighbors in Need,English Teacher
Helping Neighbors in Need,TimeBanksNYC's 2011 in 2011 Membership Drive
Helping Neighbors in Need,Friendly Visitor for Older Adults
Strengthening Communities,Fundraising Volunteer Opportunities
Education,After school program volunteer
Education,Homework Helpers
Strengthening Communities,2011 Lexington Craft Fair
Strengthening Communities,Poll Workers and Interperters Needed!
Strengthening Communities,Grant Proposal Budget for Professionals
Health,Bike New York Volunteer
Strengthening Communities,Accounting Volunteer Opportunity
Strengthening Communities,Data Entry Assistance
Environment,Event Hosting and Campaign Promotion UNICEF Tap Project Volunteer
Strengthening Communities,Press Release for Professionals
Strengthening Communities,Volunteer at an Art Gallery Dedication
Strengthening Communities,Art Programming at Incarnation Children’s Center
Strengthening Communities,Donor Relations Strategy for Professionals
Helping Neighbors in Need,Driver
Strengthening Communities,John Kieran Volunteer Day
Strengthening Communities,Event Sponsorship for Professionals
Strengthening Communities,Volunteer at School's Out for Summer Event-Queens
Strengthening Communities,Public Relations Intern 
Strengthening Communities,Volunteer Coordinator
Strengthening Communities,Graphic Design for Professionals
Health,JASA Nutrition Workshop Volunteers
Emergency Preparedness,Help Clean Up after Hurricane Irene in Manhattan
Strengthening Communities,Help Desk Intern
Strengthening Communities,Arts Workshops Intern Needed
Education,Be a Mentor.... Because Every Child Deserves a Chance!
Health,Children's Recreation Projects with New York Cares
Strengthening Communities,Girl Scout Series - Bronx 
Strengthening Communities,Photography and Art Opportunities
Education,Join the 2011/2012 Penny Harvest Leader Pin Volunteer Day!
Strengthening Communities,Grant Writer
Strengthening Communities,Grant Writer
Helping Neighbors in Need,JASA Home Delivered Meals Office Volunteer
Helping Neighbors in Need,Shred Fest 2011!!
Helping Neighbors in Need,JASA Volunteer Art Teacher at Mill Basin Senior Center
Strengthening Communities,5th Avenue Family Festival
Strengthening Communities,CDSC's 3rd Annual Starving Artist Art Show 
Strengthening Communities,Development and Welcome Desk Volunteer
Strengthening Communities,Accounting System Advice for Professionals
Strengthening Communities,Volunteer Front Desk Assistant
Helping Neighbors in Need,Care To Share Volunteer Manager 
Strengthening Communities,Lanch It! Summer Workshop Student/Volunteer
Strengthening Communities,NYC Hemophilia Walk 2011
Health,Family Liason Program at New York Methodist Hospital
Helping Neighbors in Need,Volunteers Needed in Bay Ridge/Benonhurst Area of Brooklyn to visit Homebound Seniors!
Health,Seeds in the Middle - Volunteer Girls Soccer Coach 
Education,"Volunteers Sought - School for Autistic, Douglaston Qns."
Strengthening Communities,Seeds in the Middle - Soccer Registration Administrator
Education,Volunteer Manager for Care to Share Project
Strengthening Communities,General Call for Governor's Island Volunteers
Helping Neighbors in Need,Foster Care Recruiter
Strengthening Communities,Purim Envelope Stuffing
Helping Neighbors in Need,Mentor
Strengthening Communities,Winter Jam 2011
Environment,Volunteer for Earth Day Events
Health,Fitness Instructor for Seniors
Health,Community Health Advocates Helpline Volunteer
Helping Neighbors in Need,Resume Review Workshop Volunteer
Strengthening Communities,Volunteer Assistant for Artist
Helping Neighbors in Need,Driver and Delivery volunteers 
Strengthening Communities,Help Run A Museum Store
Education,Mentor First-Generation College Students
Helping Neighbors in Need,Chinese Translator Needed
Strengthening Communities,JASA Van Cortlandt Day of Remembrance Volunteer
Helping Neighbors in Need,Volunteer Spanish Tutor
Helping Neighbors in Need,JASA Home Delivered Meals survey volunteer
Strengthening Communities,Liver Life Walk 2011
Strengthening Communities,Fundraising for ResoNations 2011
Education,Become a Mentor Today!
Strengthening Communities,American Cancer Society’s Making Strides Against Breast Cancer Walk Pre-Event Support!
Strengthening Communities,Search Engine Optimization for Professionals
Emergency Preparedness,Memorial Sloan-Kettering Cancer Center
Environment,Greenhouse/Greening
Strengthening Communities,General Support Volunteer
Strengthening Communities,Concert Site Assistants Wanted 
Helping Neighbors in Need,Client Care Services Volunteer
Emergency Preparedness,Volunteer at a Hurricane Irene Evacuation Center - Queens
Emergency Preparedness,Help Clean Up after Hurricane Irene in Brooklyn
Strengthening Communities,Human Resources Strategy for Professionals
Education,Give the Gift of Bicycling!
Education,Summer Workshop Volunteer
Strengthening Communities,It’s My Park! Day at the Friends Compost Site/Garden
Strengthening Communities,9/11 Memorial Volunteers - A Mission of Honor & Hope
Education,High School Goal Weekend
Education,Make a difference in a young person's life:  Become a Middle School Mentor Today!
Strengthening Communities,Mural Artist Wanted 
Strengthening Communities,Newsletter Writer/Editor
Helping Neighbors in Need,Personal Shopper
Strengthening Communities,Pro Bono Opportunities for Business Professionals
Strengthening Communities,Create cards for 9/11 National Day of Service
Health,Step Team Instructor
Health,Staten Island: Zumba Instructor for Shape Up New York!
Helping Neighbors in Need,Bronx Non-Profit Legal Service Provider Seeks Interns
Strengthening Communities,Activity Assistant  
Strengthening Communities,Motion Graphics Video for Professionals
Strengthening Communities,Best Buddies NYC Friendship Walk 2011
Strengthening Communities,Fundraising Inern
Helping Neighbors in Need,Volunteer with Brooklyn’s older adults!
Environment,Park Volunteer Day
Education,Writing Tutor
Strengthening Communities,Nonprofit Development - Public Relations
Helping Neighbors in Need,Coffee & Conversation Volunteer Opportunity
Strengthening Communities,Clerical Assistant
Strengthening Communities,Special Event Volunteers
Strengthening Communities,"Back to School event in Little Bay Park, Queens"
Education,E-Mentor 
Education,Cosmetologist and Barber Volunteer Vocational Instructors
Environment,Apartment Building Recycling Initiative
Environment,Garden Greeter
Helping Neighbors in Need,Professional Development Trainers
Helping Neighbors in Need,Use Your Skills To Help Others - 55+ Only
Health,Staten Island: Yoga Instructor for Shape Up New York!
Education,Tutor Youth in Harlem --55+ Only
Education,Figure Skating in Harlem Volunteer Tutor
Strengthening Communities,Croton Trail Volunteer Day
Health,Queens-Fitness Instructor for Shape Up NYC
Environment,Brooklyn Stop 'N' Swap
Helping Neighbors in Need,Volunteer to teach ESL students in Chinatown!
Strengthening Communities,CI Prep Corporate Volunteer Program
Strengthening Communities,Girl Scout Series - East Harlem
Strengthening Communities,WordPress Blog for Professionals
Helping Neighbors in Need,GED Instructer Needed!
Strengthening Communities,It's My Park Day: Western John Muir Volunteer
Strengthening Communities,Red Hook Family Festival
Environment,"Divert Clothing & Textiles From the Landfill, Neighborhood Greenmarket Textile Recycling Drive"
Education,Calling all Citizens: Improve Student Achievement in NYC by Teaching your Passion!
Strengthening Communities,Events Coordinator
Strengthening Communities,Communications & Public Relations Manager
Strengthening Communities,Public Relations 
Strengthening Communities,"Housing Works, Inc. Needs Corporate Group Volunteers"
Education,Dance/Drama Instructor
Strengthening Communities,Art Workshop Assistant - make art in laundromats!
Helping Neighbors in Need,Employment Mentoring 
Strengthening Communities,Strategic Marketing Plan for Professionals
Helping Neighbors in Need,It's Never A Bad Time to Make A Friend--55+ Only
Education,Future Coach
Education,Class Wish Internship
Strengthening Communities,Grant Writer
Strengthening Communities,FPCJ Summer Worship Arts Camp
Education,Undergraduate and Graduate Students  Fall/Spring Interns wanted to work with Class Wish 
Education,Career Conference 2011- CALL FOR PROFESSIONALS!
Strengthening Communities,We Promote Knowledge & Love: Parade Day in Harlem
Strengthening Communities,Web Designer Intern for Non-Profit Site
Strengthening Communities,Volunteer Archivist Needed
Strengthening Communities,Coordinator
Strengthening Communities,Google Adwords Plan for Professionals
Education,iMentor: We Need More Male Mentors 
Health,Teach Adults and Kids how to Ride Bikes!
Strengthening Communities,Miles For Moms Charity Run/Walk Volunteer Opportunities
Health,Transportation Alternatives NYC Century Bike Tour!
Education,Leadership Counselor for High School Youth
Strengthening Communities,Civil Air Patrol America's Best kept secret (Brooklyn)
Education,MS131 Painting Project
Strengthening Communities,Knitter/crochet
Strengthening Communities,Volunteer Program Volunteer
Strengthening Communities,Administrative Support Volunteer
Strengthening Communities,Social Media Plan for Professionals
Strengthening Communities,Blankets of Love
Strengthening Communities,CEO Expert Advice for Professionals
Strengthening Communities,Logo Design for Professionals
Strengthening Communities,This Unique Museum Will Be A Big Adventure! --55+ Only 
Helping Neighbors in Need,Accountant
Health,JASA Nutrition Workshop Volunteer info session
Strengthening Communities,Website Design for Professionals
Strengthening Communities,Single Mothers by Choice (SMC)
Education,Youth Service Day: Neighborhood Festival 2011
Health,Wii Fitness Instructor for Seniors
Helping Neighbors in Need,Give the Gift of Bicycling!
Strengthening Communities,Volunteer at Summer Outdoor Movie Nights-Queens
Strengthening Communities,Market Research for Professionals
Helping Neighbors in Need,Intake Delivery Monday
Strengthening Communities,Volunteer at Back to School Event-Queens
Strengthening Communities,Branding and Marketing Project
Helping Neighbors in Need,Administrative Volunteer
Emergency Preparedness,World Cares Center Annual Volunteer Recruitment Event 
Strengthening Communities,Brand Identity for Professionals
Strengthening Communities,Mt. Zion Kidz Fair
Strengthening Communities,Volunteers needed to reorganize a library for seniors!
Education,Reading Program Volunteers
Helping Neighbors in Need,Passover Food Distribution Volunteer Needed!  
Strengthening Communities,Ice Skating - Police Athletic League
Strengthening Communities,Musician for Alzheimer's Program
Strengthening Communities,Need volunteers for Make Music New York Event 
Strengthening Communities,Summer Back to School Bash
Education,Be a Proctor for Students Taking Exams - 55+ Only
Health,Fitness Instructor for Seniors
Health,Yoga Instructor
Strengthening Communities,Promotional Video for Professionals
Health,Community Health Promotion and Awareness Intern
Strengthening Communities,"Office Support, Volunteer Recruitment and Personnel Opportunities"
Strengthening Communities,Marketing Intern
Strengthening Communities,August Movie Event volunteers needed in Queens
Strengthening Communities,Halloween Carnival/Haunted House Set Up
Education,Help A Middle School Student Learn A New Skill --55+ Only
Strengthening Communities,Social Networker
Strengthening Communities,Online / Social Media Marketing Intern/Volunteer
Environment,Ecological Art: Costume & Puppet Design 
Strengthening Communities,Give the Gift of Bicycling!
Strengthening Communities,Administrative Assistant
Strengthening Communities,Development/Fundraising Assistance
Strengthening Communities,Market Analysis for Income-Generating Organizations for Professionals
Emergency Preparedness,Free CPR Training in Brooklyn!
Helping Neighbors in Need,Become An Activity Leader! --55+ Only
Strengthening Communities,Make a difference for the LGBTQ community of Queens!
Strengthening Communities,Volunteer with El Museo del Barrio
Health,Met Council Nutrition Workshop Volunteer info session
Health,Making Strides Against Breast Cancer Volunteers Needed
Helping Neighbors in Need,Volunteer program aide/escort
Strengthening Communities,Volunteer at Queens Sand Castle Contest
Education,Fall Internship  for High Schools Students at ClassWish.org
Helping Neighbors in Need,GED Math/Humanities Tutor
Education,Computer Skills Tutor
Helping Neighbors in Need,English as a Second Language Instructor
Helping Neighbors in Need,Help Care for Babies at the Teen Family Center - 55+ Only
